FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	cluster_id
FBgn0261287	ymp	yellow-emperor	BP_function;CC_component	1
FBgn0261552	ps	pasilla	BP_function	5
FBgn0261641	CG42724		BP_function;CC_component	5
FBgn0261648	salm	spalt major	BP_function	5
FBgn0261789	SmD2	Small ribonucleoprotein particle protein SmD2	BP_function;CC_component	4
FBgn0261790	SmE	Small ribonucleoprotein particle protein SmE	BP_function;CC_component	3
FBgn0261791	SNRPG	Small nuclear ribonucleoprotein G	BP_function;CC_component	3
FBgn0261792	snRNP-U1-C	small ribonucleoprotein particle U1 subunit C	BP_function;CC_component	4
FBgn0261933	SmD1	Small ribonucleoprotein particle protein SmD1	BP_function;CC_component	3
FBgn0261984	Ire1	Inositol-requiring enzyme-1	BP_function	5
FBgn0262475	bru2	bruno 2	BP_function	5
FBgn0262601	SmB	Small ribonucleoprotein particle protein SmB	BP_function;CC_component	4
FBgn0262737	mub	mushroom-body expressed	BP_function	1
FBgn0263198	Acn	Acinus	BP_function;CC_component	4
FBgn0263396	sqd	squid	BP_function;CC_component	5
FBgn0263594	lost	lost	BP_function;CC_component	3
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	BP_function;CC_component	4
FBgn0263603	Zn72D	Zinc-finger protein at 72D	BP_function;CC_component	4
FBgn0263829	CG34334		BP_function	1
FBgn0264001	bru3	bruno 3	BP_function	5
FBgn0264270	Sxl	Sex lethal	BP_function	5
FBgn0264491	how	held out wings	BP_function	5
FBgn0265184	miso	minor splicing and oogenesis	BP_function	5
FBgn0265297	pAbp	poly(A) binding protein	BP_function;CC_component	5
FBgn0265298	SC35	SR family splicing factor SC35	BP_function	4
FBgn0265487	mbl	muscleblind	BP_function	5
FBgn0265574	Cdc5	Cell division cycle 5	BP_function;CC_component	4
FBgn0265998	Doa	Darkener of apricot	BP_function	5
FBgn0266599	Hsc70-4	Heat shock protein 70 cognate 4	BP_function;CC_component	3
FBgn0266917	Sf3a1	Splicing factor 3a subunit 1	BP_function;CC_component	4
FBgn0267791	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K	BP_function	4
FBgn0283477	SF2	Splicing factor 2	BP_function;CC_component	4
FBgn0285926	Imp	IGF-II mRNA-binding protein	BP_function;CC_component	5
FBgn0285954	caz	cabeza	BP_function;CC_component	4
FBgn0286786	hoip	hoi-polloi	BP_function;CC_component	3
